Question,Answer
What is the status of UGC recognition? Are all programs approved by UGC?,"The university was established under Uttar Pradesh Act No. 24 of 2016 under Gazette notified by the Government of Uttar Pradesh Vide No 1402(2)/LXXIX-V- 1-16- 1(Ka)- 25-2016 dated 16 September 2016.

As per the UGC letter dated 27th March 2018, Bennett University was established by the Act of State Legislature of Uttar Pradesh as a private university and is empowered to award degrees as specified under section 22 of the UGC Act to the students studying in its main campus in regular mode with the approval of Statutory Bodies/Councils, wherever required."
When was Bennett University established?,Bennett University was established in August 2016.
Are Bennett University degrees recognized nationally and internationally?,"Yes, the degrees awarded by Bennett University are equivalent to those offered by any recognized university globally, ensuring recognition both nationally and internationally."
What is the application form fee?,The application form fee for domestic candidates is 1500 INR and for international candidates is 2000 INR. The application fee is non-refundable.
Does the university conduct real-time interactive sessions about the programs?,"Yes, Bennett University regularly hosts Open House sessions, providing an excellent opportunity to explore programs and university."
"Once my admission is confirmed, can I withdraw from it?",Yes. Bennett University follows refund policy as laid by UGC.
Whom do I contact for admission-related queries?,"For Admission-related queries, you can contact Toll-Free at 18001038484 or WhatsApp: at 8860309257 or contact our admission counsellors at regional offices across the country."
Does BU have regional offices for admission information if aspirants want to join from other states?,"Yes, Bennett University has regional offices and representatives across the country to help aspirants. For more details please visit: https://www.bennett.edu.in/admission/meet-bennett-university-times-india-office-city/"
What are the various schools at the University?,"The University has 8 schools on:

School of Engineering & Applied Sciences
School of Artificial Intelligence
School of Computer Science Engineering & Technology
School of Liberal Arts
School of Management
Times School of Media
School of Law
School of Design"
Is Bennett a multidisciplinary university?,"Yes, Bennett University is a multi-disciplinary university, wherein students from one school can opt for specializations, open electives, professional electives, minors, honors, and audit courses from another school."
What are the undergraduate programs available at Bennett University?,"The undergraduate programs available across eight schools are:

B.Tech Artificial Intelligence
B.Tech Computer Science Engineering
B.Tech Electronics Engineering & Computing
B.Tech Electronics Communication & Engineering
B.Tech Mechanical Engineering
B.Tech Engineering Physics
B.Tech Biotechnology
B.Tech M.Tech Biotech Integrated
BCA
BBA
MBA Integrated
B.A. Liberal Arts
B.A. Mass Communication
B.A. Film, TV & Web Series
B.A. LL.B. (Hons.)
BBA LL.B (Hons.)
Bachelor of Design (B.Des.)"
What are the postgraduate and Ph.D programs available at Bennett University?,"The postgraduate programs available across eight schools are:

LL.M.
M.A. Mass Communication
MBA
MCA
M.Tech in Computer Science Engg
M.Tech + Ph.D. (Computer Science Engineering -Integrated)

PG Diploma:

PG Diploma in TV & Digital Journalism
PG Diploma in Computer Science Engineering
PG Diploma in Computer Application
PG Certificate Course:

Computer Science Engineering
Computer Application
Ph.D. programs are available in all schools except School of Design."
What is the support available to students intending to pursue Ph.D ?,"Financial support is provided to all full-time Ph.D. scholars in the form of Ph.D. assistantships, subject to certain terms and conditions laid down by the University. The support falls under 2 slabs: Slab 1. INR 25,000/- Slab 2. INR 40,000/-. To know more, contact admissions team. Toll Free No. 1800 103 8484 or WhatsApp +91-8860309257."
What is unique about the curricula followed at the University?,"The curriculum at Bennett University is designed to address local, national, regional, and global developmental needs while providing a holistic and forward-thinking education. It is continually updated to meet the evolving demands of academia, industry, and society. To ensure its relevance, the university regularly convenes meetings of the Board of Studies, which includes experts from both academia and industry. This dynamic approach ensures that our curriculum remains aligned with the latest trends and prepares students for the future."
What distinguishes the teaching faculty at the university?,"90% of our faculty members hold Ph.D. degrees and come from prestigious institutions, including IITs, IIMs, NLUs, and other renowned national and international universities. The presence of Research Chair Professorships and esteemed Academic Advisory Board members plays a crucial role in shaping the intellectual and scholarly environment of the university, contributing significantly to its academic excellence."
How does Bennett University ensure industry support for its programs?,"Bennett University is dedicated to building strong collaborations with industry leaders to offer hands-on training, research opportunities, and exposure to cutting-edge technologies such as AI, Big Data, and Cloud Computing. Through strategic partnerships with renowned industry players like ServiceNow, Infosys, Grant Thornton, Xebia, and others, the University provides valuable training, internships, and certification programs.

Furthermore, BU benefits from the guidance of its Industry Advisory Board, which comprises over 30 CEOs and CXOs. This board plays an active role in shaping the curriculum, enhancing internship and placement opportunities, supporting live projects, and ensuring that industry best practices are integrated into the academic experience."
Do programs have the support of the industry?,"Bennett University focuses on providing industry exposure to all its students. To strengthen the industry experience of students, the university has agreements and understandings with various organisations. It also has strong ties with industry bodies such as FICCI, CII, TIE, IEEE, ACM, Geek for Geeks among others. The University also has an Industry Advisory Board comprising renowned industry leaders of the world."
What are the study facilities and support infra that Bennett University offers to its students?,"Bennett University offers world-class study facilities and state-of-the-art infrastructure, making it one of the top institutions in India. Key features include:

Spacious, air-conditioned digital classrooms to foster an interactive and engaging learning environment. Classrooms are equipped for presentations, videos, and live exercises.
121+ dedicated high-end teaching and research labs partnered with leading global brands like Dell, Amazon, Microsoft, Cisco, Apple, and others, providing students with hands-on learning experiences.
Aesthetically designed Moot Court that offers students practical exposure to courtroom proceedings.
TV and Radio Studios developed in collaboration with Times Now and Radio Mirchi engineers, along with two OB Vans, facilitating experiential learning for media students.
Dedicated Law Library and two Central Libraries equipped with e-learning resources, supporting extensive reading and research opportunities.
These facilities ensure that students receive an enriching and practical academic experience, preparing them for success in their respective fields."
Does Bennett University offer placement and internship opportunities to its students?,"Bennett University is committed to making its students career-ready for the New Age economy. The Career Services office plays a key role in supporting and guiding deserving students in securing suitable placements and internships. Through the Bennett Finishing School, the university offers comprehensive Employability Enhancement Trainings, including Soft Skills, Life Skills, and Technical Skills development. Additionally, the university provides Recruiter-Specific Trainings and in-house coaching for higher studies and competitive exams such as GRE, GMAT, CAT, and others. These initiatives ensure that students are well-prepared for successful careers."
What opportunities does Bennett University provide for aspiring entrepreneurs and student innovators?,"Yes, Bennett University provides a range of opportunities for aspiring entrepreneurs, including the Bennett Hatchery incubator, which has launched over 50 start-ups. Students benefit from 1-1 mentoring with entrepreneurs, coaches, and investors, entrepreneurship courses integrated into all programs, and direct connections to investors, customers, and partners. Additionally, students receive training on world-class start-up methodologies to prepare them for the challenges of the business world."
What is the fee structure for students enrolled in programs at Bennett University?,"The fee structure varies for each program. For detailed information, please visit Fee Structure."
Does university has any online fee payment portal?,"Yes, Bennett University has a streamlined online fee payment process for each Annual Academic Session, please visit Online Payment"
Can students aspiring to study at Bennett University avail a bank loan?,"Yes, the university has partnered with Credence, ICICI Bank, Bank of Baroda, and Axis Bank to assist students in obtaining education loans. For more information, please visit: Education Loan"
Are deserving students eligible for scholarships?,"Yes, deserving students are eligible for both academic and merit-based scholarships. Scholarships are awarded on a first-come, first-served basis, subject to availability. For more details, please visit Scholarships"
